taxon_sort,common_name,scientific_name,species_code,aba,world_lifer,US_lifer,media_lifer,freq_US,freq_MI,freq_IN,freq_KS,freq_CO4,freq_TX,freq_AZ,freq_CA,freq_UT,freq_NV,freq_ID,freq_ND,freq_MT,freq_CO6,freq_WA,midwest,colorado,texas,arizona,california,mountainwest,cascadia,freq_max,Column1,Column2,target,region,exotic,vagrant,comment,Sensitive
6130,Willet ,Tringa semipalmata,willet1,1,,,,3.00%,0.11%,0.28%,2.61%,2.00%,9.00%,1.00%,2.00%,3.00%,1.00%,1.59%,10.01%,4.00%,0.00%,0.00%,2.61%,2.00%,9.00%,1.00%,2.00%,10.01%,0.00%,10.01%,FALSE,263.22%,0,,,,,
6133,Lesser Yellowlegs ,Tringa flavipes,lesyel,1,,,,2.00%,3.03%,7.40%,11.86%,5.00%,9.00%,0.00%,0.00%,0.00%,0.00%,0.08%,1.41%,0.00%,0.00%,0.00%,11.86%,5.00%,9.00%,0.00%,0.00%,1.41%,0.00%,11.86%,FALSE,304.44%,0,,,,,
6268,South Polar Skua ,Stercorarius maccormicki,sopsku1,2,1,1,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.02%,0.02%,TRUE,466.67%,0,,,,,
6274,Pomarine Skua ,Stercorarius pomarinus,pomjae,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,,,
6275,Arctic Skua ,Stercorarius parasiticus,parjae,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,,,
6277,Long-tailed Skua ,Stercorarius longicaudus,lotjae,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,,,
6285,Little Auk ,Alle alle,doveki,2,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,,,
6288,Common Guillemot ,Uria aalge,commur,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,1.00%,1.00%,TRUE,350.00%,0,,,,,
6294,Brünnich's Guillemot ,Uria lomvia,thbmur,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,,,
6301,Razorbill ,Alca torda,razorb,1,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,,,
